[21:11:27] [Servidor] Iniciando servidor na porta 5001
[21:11:30] [Servidor] Mensagem recebida: [Mensagem] id: 0 | type: sync | payload: 

[21:11:30] [Servidor] Adicionando o cliente (10.254.225.29, 4000) na lista
[21:11:31] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 3 | type: data | payload: 959.4263019256077

[21:11:32] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 4 | type: data | payload: 968.7118430739113

[21:11:33] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 5 | type: data | payload: 1083.6852959366656

[21:11:34] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 6 | type: data | payload: 996.8191744880705

[21:11:35] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 7 | type: data | payload: 1078.0188534673466

[21:11:36] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 8 | type: data | payload: 1084.3126067572364

[21:11:37] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 9 | type: data | payload: 1124.753130922292

[21:11:38] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 10 | type: data | payload: 1140.3091814686916

[21:11:39] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 11 | type: data | payload: 1082.4976777984832

[21:11:40] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 12 | type: data | payload: 1161.8749130843476

[21:11:41] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 13 | type: data | payload: 1185.0167999349658

[21:11:42] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 14 | type: data | payload: 1236.269622987569

[21:11:42] [Servidor] Mensagem recebida: [Mensagem] id: 0 | type: sync | payload: 

[21:11:42] [Servidor] Adicionando o cliente (10.254.225.28, 4562) na lista
[21:11:43] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 15 | type: data | payload: 1310.1158631120977

